"","day","coffee.count"
"233",2018-09-11,128
"234",2018-09-12,135
"235",2018-09-13,157
"236",2018-09-14,109
"237",2018-09-15,0
"238",2018-09-16,0
"239",2018-09-17,126
"240",2018-09-18,141
"241",2018-09-19,127
"242",2018-09-20,134
"243",2018-09-21,136
"244",2018-09-22,0
"245",2018-09-23,0
"246",2018-09-24,150
"247",2018-09-25,164
"248",2018-09-26,126
"249",2018-09-27,128
"250",2018-09-28,113
"251",2018-09-29,0
"252",2018-09-30,0
"253",2018-10-01,156
"254",2018-10-02,175
"255",2018-10-03,146
"256",2018-10-04,135
"257",2018-10-05,122
"258",2018-10-06,0
"259",2018-10-07,0
"260",2018-10-08,131
"261",2018-10-09,134
"262",2018-10-10,139
"263",2018-10-11,148
"264",2018-10-12,124
"265",2018-10-13,0
"266",2018-10-14,0
"267",2018-10-15,148
"268",2018-10-16,144
"269",2018-10-17,142
"270",2018-10-18,139
"271",2018-10-19,130
"272",2018-10-20,0
"273",2018-10-21,0
"274",2018-10-22,115
"275",2018-10-23,162
"276",2018-10-24,154
"277",2018-10-25,165
"278",2018-10-26,132
"279",2018-10-27,0
"280",2018-10-28,0
"281",2018-10-29,185
"282",2018-10-30,165
"283",2018-10-31,100
"284",2018-11-01,0
"285",2018-11-02,79
"286",2018-11-03,0
"287",2018-11-04,0
"288",2018-11-05,181
"289",2018-11-06,141
"290",2018-11-07,117
"291",2018-11-08,147
"292",2018-11-09,124
"293",2018-11-10,0
"294",2018-11-11,0
"295",2018-11-12,149
"296",2018-11-13,154
"297",2018-11-14,105
"298",2018-11-15,141
"299",2018-11-16,136
"300",2018-11-17,0
"301",2018-11-18,0
"302",2018-11-19,152
"303",2018-11-20,140
"304",2018-11-21,176
"305",2018-11-22,149
"306",2018-11-23,125
"307",2018-11-24,0
"308",2018-11-25,0
"309",2018-11-26,158
"310",2018-11-27,166
"311",2018-11-28,133
"312",2018-11-29,135
"313",2018-11-30,113
"314",2018-12-01,0
"315",2018-12-02,0
"316",2018-12-03,121
"317",2018-12-04,161
"318",2018-12-05,156
"319",2018-12-06,152
"320",2018-12-07,122
"321",2018-12-08,0
"322",2018-12-09,0
"323",2018-12-10,150
"324",2018-12-11,171
"325",2018-12-12,149
"326",2018-12-13,142
"327",2018-12-14,121
"328",2018-12-15,0
"329",2018-12-16,0
"330",2018-12-17,135
"331",2018-12-18,147
"332",2018-12-19,152
"333",2018-12-20,137
"334",2018-12-21,111
"335",2018-12-22,0
"336",2018-12-23,0
"337",2018-12-24,0
"338",2018-12-25,0
"339",2018-12-26,0
"340",2018-12-27,0
"341",2018-12-28,0
"342",2018-12-29,0
"343",2018-12-30,0
"344",2018-12-31,0
"345",2019-01-01,0
"346",2019-01-02,0
"347",2019-01-03,95
"348",2019-01-04,88
